uid:a58cce7af4ad6855fea778b3;name:靠山居艺墅7幢;address:北京市房山区靠山居艺墅7幢;lat:39.808992;lng:116.219868
uid:851cb6a626414f878bb988d7;name:同兴园15号楼;address:北京市大兴区槐房西路同兴园北区;lat:39.804611;lng:116.370186
uid:37d60a4617688e1c1e1d1175;name:飞腾家园;address:丰台区南苑镇五爱屯西街3号;lat:39.809268;lng:116.382187
uid:3faca798d9c3589e9222e0fc;name:西宏苑小区;address:南苑镇;lat:39.807113;lng:116.386057
uid:fc767524aed314fa4e776e04;name:诚苑南里;address:北京市丰台区诚苑南里小区;lat:39.809419;lng:116.380079
uid:9f97b1c502264c07b64f54d1;name:红房子小区;address:北京市丰台区五爱屯东街64;lat:39.804765;lng:116.386368
uid:ee29377042448c146949f377;name:飞腾家园5号楼;address:北京市丰台区五爱屯西街3号院;lat:39.808763;lng:116.38279
uid:d9a2e570adb8bdbed5b74e94;name:五爱屯东街64号院1号楼;address:北京市丰台区五爱屯东街64;lat:39.805016;lng:116.386635
uid:97e324049f3a520808ccdd92;name:西宏苑8号楼;address:正明路 附近;lat:39.807653;lng:116.384885
uid:ce7aa182e63a86b9e5e965ea;name:新兴村140号;address:新兴村附近;lat:39.806874;lng:116.381834
uid:a7a37f046b949283ffa77878;name:五爱屯东街64号院2号楼;address:北京市丰台区五爱屯东街64;lat:39.804747;lng:116.386744
uid:9d336de7b099b80beedfcaa6;name:西宏苑2号楼;address:北京市丰台区南苑街道西宏苑小区12栋;lat:39.80754;lng:116.386929
uid:610bd2ed946d081b2fb908a4;name:鑫利达房地产;address:警备东路泡沫厂接待处附近;lat:39.809347;lng:116.402376
uid:606ab0d0876e332a0e3dda04;name:六营门小区;address:北京市丰台区南大红门路;lat:39.804178;lng:116.423639
uid:c8e8f633b3f6756cab0dd804;name:梅源里小区;address:北京市丰台区南大红门路36号;lat:39.802851;lng:116.427297
uid:d305db1f2170fa3f932ca33c;name:万源西里;address:丰台六营门航天部东侧万源西里;lat:39.807274;lng:116.426483
uid:850815e1e1f0e09b43e19237;name:中国运载火箭技术研究院青年公寓;address:东高地万源西里36栋航天万源广场;lat:39.808771;lng:116.429975
uid:022d83190494ef858e772728;name:万源南里23号楼;address:万源南路4号;lat:39.802678;lng:116.429898
uid:1686ee498e1cf319ab059d4c;name:万源西里7号楼;address:北京市丰台区万源西里7号楼;lat:39.806128;lng:116.425693
uid:25d174305a4d65cf3c9a5e35;name:万源南里22号楼;address:万源南路4号;lat:39.803021;lng:116.429861
uid:f424a1a4e3c7e3698c1a8950;name:万源南里16号楼;address:北京市丰台区万源南里16号楼;lat:39.803705;lng:116.42955
uid:a69800115ea67df4adee7a96;name:万源西里8号楼;address:北京市丰台区万源西里8号楼;lat:39.805623;lng:116.42582
uid:d41e693cd442092d3717dc58;name:万源西里5号楼;address:北京市丰台区万源西里5号楼;lat:39.807361;lng:116.425554
uid:fc767524ada315fa4e776ef4;name:清乐园小区;address:北京市大兴区旧宫清乐园;lat:39.809091;lng:116.439817
uid:0bc465eb9b363ae77dc876ab;name:万源南里;address:北京市丰台区万源南路4号;lat:39.803558;lng:116.432038
uid:07707ef3fbeabe0e1811d515;name:万源东里;address:北京市丰台区万源南路1号;lat:39.80747;lng:116.433322
uid:aef649663eb22700441a3208;name:桃源里;address:万源路航天部宿舍;lat:39.800828;lng:116.431563
uid:f35b1d339d7a9ec996ca07c1;name:万源南里26号楼;address:北京市丰台区万源南里26号楼;lat:39.802394;lng:116.431482
uid:54292ef46c0c0c5a3813fd58;name:万源南里48号楼;address:北京市丰台区万源南里48号楼;lat:39.803232;lng:116.435179
uid:a1c574eb157d01331e580031;name:万源东里甲85号楼;address:北京市丰台区万源东里甲85号楼;lat:39.807267;lng:116.432334
uid:6bbcb681c7505e09ddee8baa;name:万源南里25号楼;address:北京市丰台区万源南路4号;lat:39.802743;lng:116.431042
uid:d5b2d8e5c04bc5a77adbd2ea;name:万源南里28号楼;address:北京市丰台区万源南路甲2号;lat:39.804992;lng:116.432112
uid:85408a4dba07f6d192114c77;name:万源东里87号楼;address:北京市丰台区万源东里87号楼;lat:39.806165;lng:116.43235
uid:8eb48fa15e14baa7f32d83c9;name:清逸西园;address:旧宫东路74号;lat:39.809068;lng:116.449276
uid:5b33b0615312aefcf503b80c;name:清乐园7号楼;address:旧宫镇旧宫西路清乐园7号楼;lat:39.808399;lng:116.440051
uid:0861a797eaa81e414bcc4a55;name:清逸西园12号楼;address:旧宫东路74号;lat:39.808348;lng:116.449177
uid:03ae2226657423819d82eac2;name:清逸西园17号楼;address:北京市大兴区清逸西园小区17号楼;lat:39.807972;lng:116.44851
uid:d72141a4446b5c67047ce8dc;name:清逸西园甲12号楼;address:北京市大兴区旧隆路;lat:39.80851;lng:116.44818
uid:89fb2af50354cf342afc484f;name:清逸西园11号楼;address:北京市大兴区清逸西园小区11号楼;lat:39.808928;lng:116.448163
uid:502aab247e9f01292ce67b50;name:清逸西园3号楼;address:北京市大兴区清逸西园小区3号楼;lat:39.809977;lng:116.449789
uid:27f971bc7183ab65d8131841;name:清乐园5号楼;address:北京市大兴区清乐园5号楼;lat:39.809273;lng:116.440047
uid:82bb2b9e11fd20db3fe231a3;name:清乐园6号楼;address:北京市大兴区清乐园6号楼;lat:39.808838;lng:116.440057
uid:0535d99891ca898ee31103c8;name:清乐园11号楼;address:旧宫镇旧宫西路清乐园11号楼;lat:39.808839;lng:116.441366
uid:37d60a4657e3ce601e1d11f4;name:育龙家园;address:北京市大兴区旧忠路9号;lat:39.807099;lng:116.455772
uid:83ade750aec103aac2364438;name:清逸园小区;address:北京市大兴区旧宫镇旧宫东路74号;lat:39.809632;lng:116.453702
uid:b7ff484771ba498f276e9823;name:博康大厦;address:北京市大兴区旧桥路12号院23号楼;lat:39.803414;lng:116.458679
uid:e038a0affd140e6f7369d369;name:旧宫新苑北区;address:旧忠路12号;lat:39.809359;lng:116.459127
uid:1f3b690cb4c7e39797031944;name:清逸西园8号楼;address:北京市大兴区旧隆路;lat:39.809284;lng:116.450245
uid:8f20e6f6ff97c57471455b2b;name:清逸园36号楼;address:北京市大兴区;lat:39.808797;lng:116.451507
uid:bef1fca40d5f26ee704b879e;name:清逸园20号楼;address:北京市大兴区旧宫东路74号;lat:39.809333;lng:116.455625
uid:198285ad3397c469a2a9341b;name:清逸西园9号楼;address:北京市大兴区清逸西园小区9号楼;lat:39.808765;lng:116.450126
uid:4076befc35f88821a11de91d;name:清逸园34号楼;address:北京市大兴区清逸园小区34号楼;lat:39.809715;lng:116.451537
uid:06fdfe0ee581fb8f1e1d110b;name:育龙家园28号楼;address:旧忠路9育龙家园附近;lat:39.807953;lng:116.453803
uid:f2f15ffb45fa9788631c67f4;name:灵秀山庄;address:大兴区旧宫镇灵秀山庄;lat:39.804171;lng:116.466864
uid:f6ea9bf0a2127ac15c0d026a;name:旧宫新苑南区;address:旧宫镇旧忠路十字路口向南100米路东边;lat:39.804523;lng:116.461516
uid:a7b7fb514bb582b996ca0718;name:美然绿色家园;address:北京市大兴区旧忠路16号;lat:39.807321;lng:116.460426
uid:28fe185ef3d8a76621f01761;name:葛洲坝·紫郡府;address:北京市大兴区旧宫镇德寿寺西街1号院;lat:39.809847;lng:116.463914
uid:46b2d2d4db0b6831e8e582ad;name:旧宫新苑;address:北京市大兴区旧宫东里甲1号;lat:39.804766;lng:116.461058
uid:50eb01ee7465108d0c0a708d;name:亲亲我家;address:北京市大兴区旧头路31号;lat:39.805676;lng:116.469295
uid:a0fb86e49686b262b75f1e0a;name:亦庄·北岸1号楼;address:上筑家园1号楼;lat:39.80452;lng:116.468575
uid:3c089a25a8cd785a3ce2311b;name:灵秀山庄23号楼;address:北京市大兴区灵秀山庄23号楼;lat:39.802787;lng:116.468924
uid:caf68faf7e7bb6d5a20464be;name:灵秀山庄12号楼;address:北京市大兴区灵秀山庄12号楼;lat:39.803015;lng:116.466253
uid:06d2dffd11ae40f688f15df4;name:旧宫东里小区;address:北京市旧宫东里甲1号;lat:39.805853;lng:116.464115
uid:152b596f903cacb9ab0dd8bd;name:亦庄·北岸;address:北京市大兴区亦庄北岸12号楼;lat:39.803198;lng:116.470066
uid:5ffb18160fd85a5f6f4760f4;name:莱茵河畔;address:北京市大兴区经济技术开发区西环北路;lat:39.803345;lng:116.479801
uid:cb4fd146d7643d419d9d68f4;name:秀水花园;address:旧头路31号;lat:39.805588;lng:116.471048
uid:516e8f0f2ce37dd84151c04b;name:秀水花园35号楼;address:北京市大兴区秀水花园35号楼;lat:39.805865;lng:116.471393
uid:2feee42c52d5b9218705bfa6;name:上筑家园8号楼;address:北京市大兴区亦庄北岸91204;lat:39.80318;lng:116.470578
uid:0d94dba54e10f51bcafa5f3f;name:上筑家园9号楼;address:北京市大兴区亦庄北岸9号楼;lat:39.802813;lng:116.471256
uid:d948d8f0eff282f132f71d46;name:秀水花园17号楼;address:北京市大兴区秀水花园17号楼;lat:39.806777;lng:116.470701
uid:2cd970ca1a651b042eb9084f;name:秀水花园8号楼;address:北京市大兴区秀水花园8号楼;lat:39.807055;lng:116.47004
uid:44894cdb8dc721b197f08c56;name:贵园北里丁区10号楼;address:北京市大兴区西环北路;lat:39.803112;lng:116.478891
uid:42532b862e0f18fa1fe99931;name:秀水花园30号楼;address:北京市大兴区秀水花园30号楼;lat:39.806222;lng:116.470724
uid:b533ea4a03257a414f6d46f4;name:富源里;address:北京市大兴区经济技术开发区富源里小区;lat:39.806656;lng:116.483252
uid:e3a7fd13db1eda5228b97cf4;name:星岛假日;address:亦庄西环北路18号;lat:39.80773;lng:116.489037
uid:06e5214623a739c697031986;name:贵园北里甲区;address:西环北路;lat:39.803238;lng:116.486495
uid:0dc3d82d0fe3fc6d75e5b66c;name:瀛景园;address:大兴区亦庄开发区贵园路（小白羊超市旁）;lat:39.80043;lng:116.48517
uid:eb36750313d9271b00ec01f4;name:星岛嘉园;address:北京市大兴区贵园北路;lat:39.805265;lng:116.485768
uid:750ec165f5d4c9284c3a59cc;name:贵园北里;address:大兴亦庄瀛海经济济术开发区;lat:39.802871;lng:116.484673
uid:6835e3a784ff674ee31103f4;name:星岛嘉园米兰天空;address:北京市大兴区贵园北路;lat:39.80496;lng:116.482469
uid:fd5d5ebb1c413832a5da3979;name:贵园南里乙区;address:北京市大兴区贵园南里丙区1号楼;lat:39.800422;lng:116.489018
uid:36e406aedaa98503adb22ab8;name:贵园北里戊区;address:北京市大兴区贵园北路6号;lat:39.803223;lng:116.484177
uid:480b24d05ada06f29cec2bcc;name:华腾发展大厦;address:北京市大兴区西环北路23号;lat:39.805447;lng:116.488521
uid:a3f21eeea3aa88442fb17ef4;name:新康家园;address:北京经济技术开发区科慧大道天华园一里三区;lat:39.806187;lng:116.495442
uid:11c0448c125b241772455b22;name:听涛雅苑;address:亦庄经济开发区天华西路与天华北街交汇;lat:39.804132;lng:116.497434
uid:8269559c8eb973bdd8eced0a;name:境界家园;address:北京市大兴区贵园东里52号楼701;lat:39.802404;lng:116.492492
uid:1aab0536781c10bdfb2213f3;name:贵园东里;address:北京市大兴区贵园东里甲5;lat:39.805868;lng:116.490329
uid:e968f63526589e6b6140a9d5;name:紫君庭中央公馆;address:北京市大兴区科慧大道1号;lat:39.802881;lng:116.498449
uid:435d7aea7b5b2c355abbbcf5;name:Dear Villa小区;address:亦庄技术开发区富园东一区;lat:39.808931;lng:116.493581
uid:c5ddcc084b727cc5d81318cc;name:燕景佳园;address:北京市大兴区贵园东里燕景佳园11;lat:39.806408;lng:116.491738
uid:93df0dc391e9cc56882fb5d8;name:亦庄梅园小区;address:北京经济技术开发区天华里;lat:39.806404;lng:116.497194
uid:4eb3b533d5a6f975430245f4;name:广德苑小区;address:大兴经济技术开发区亦庄医院东边;lat:39.804798;lng:116.490591
uid:73c2f161e9aaa40e7ec876b0;name:亲爱的Villa亦庄小独栋;address:文化园西路和天华西路交叉口;lat:39.807362;lng:116.493512
uid:a4917cd276b1081a01ff2dae;name:大雄城市花园;address:亦庄经济技术开发区;lat:39.80726;lng:116.500872
uid:6d1a2e4a897bbb5fa2d23060;name:亦城国际中心;address:北京市大兴区荣华中路10号;lat:39.808709;lng:116.50987
uid:ef5bc9b3a271c1900c0a701b;name:一栋洋房;address:北京市大兴区北京经济技术开发区天华北路;lat:39.803451;lng:116.503463
uid:4bb049d90293e54699005034;name:一品·亦庄;address:天华北街2号;lat:39.809141;lng:116.506452
uid:efe34e8d545a97c836b06c25;name:东晶国际公寓;address:亦庄开发区亦庄天华园二里三区;lat:39.805285;lng:116.500722
uid:2848ffd66865040e48cc4a79;name:博客雅居;address:天华东路5;lat:39.808378;lng:116.50427
uid:97252b70cb2f4f468bdb7328;name:国融国际;address:北京市大兴区荣华中路7号;lat:39.807696;lng:116.508156
uid:1e742893e098cfd18c1a899d;name:富兴国际中心;address:北京市大兴区天华北街11号院;lat:39.809784;lng:116.506901
uid:c42d6e303f5d1fa41d1d1160;name:鹿鸣苑;address:北京市大兴区天华北街2号;lat:39.80606;lng:116.506493
uid:00ad1994d2b2dce7fb0cad82;name:易居国际;address:北京经济技术开发区亦庄荣华中路5号;lat:39.809601;lng:116.506832
uid:ce04bf905676904e8f1a893c;name:亦城财富中心;address:北京市荣华路28C3地块号;lat:39.801055;lng:116.515914
uid:9db25a053c79c3fa3be4a692;name:荣京丽都;address:大兴区经济技术开发区亦庄荣京东街3号;lat:39.800649;lng:116.517744
uid:435d7aea8e5fc74b5abbbcf7;name:博大大厦;address:北京市大兴区荣华中路15号;lat:39.801207;lng:116.512631
uid:c879fa0105dba54ac909f0f4;name:创新大厦;address:宏达北路12;lat:39.806877;lng:116.515194
uid:fa01e9378a1af04a774ff1f4;name:朝林大厦;address:北京市大兴区荣华中路15号;lat:39.801221;lng:116.512465
uid:8fa14fc3eef6ca6ef7eafcf4;name:万源商务中心;address:宏达北路10号608室;lat:39.807762;lng:116.514205
uid:70ece1e8e082de112afc4829;name:中航技北京工业园写字楼;address:大兴区亦庄经济技术开发区宏达北路16号;lat:39.804937;lng:116.51602
uid:4fc3161af93ecea93a13fdf4;name:大地大厦;address:北京市大兴区宏达北路18号;lat:39.80393;lng:116.517985
uid:b598675aae1bad26a3acc421;name:中材大厦;address:北京市大兴区隆庆街7号;lat:39.808022;lng:116.515189
uid:8df011a10c53a917fa0cad8b;name:永昌8号科技广场;address:北京经开宏达科技园8号楼;lat:39.809916;lng:116.514901
uid:f1f5cac52916229b36b06c7d;name:兴盛国际;address:大兴北京亦庄经济技术开发区，同济中路7号，诺基亚总部对面;lat:39.800795;lng:116.529597
uid:0a15c7ec55c76efced74f8f4;name:狮岛索龙大厦;address:北京市大兴区同济中路2号;lat:39.804381;lng:116.528729
uid:ed334558c62e7decf4b91623;name:岳虹大厦;address:北京市大兴区永昌北路13号;lat:39.803004;lng:116.522202
uid:1d989804ba16b08d04026f00;name:汇龙森一园;address:北京市大兴区中和街14号;lat:39.806392;lng:116.522212
uid:9dc8146fb8cff290d13ce314;name:中和街16号院6号楼;address:北京市中和街16号院;lat:39.80699;lng:116.524534
uid:7c984a5be6be203ed5b74e00;name:亿江大厦;address:北京市大兴区中和街16号中和科技园B座;lat:39.806753;lng:116.524126
uid:c3bc4f903ef1ae8b2ce67be9;name:兴盛国际b座;address:北京市大兴区同济中路甲7号;lat:39.800594;lng:116.529232
uid:a2f112742aa2f1a6c17da2d1;name:中和工业园经开物业10号楼;address:北京市大兴区;lat:39.806136;lng:116.52377
uid:f59adb2be261e50b2cb96d1b;name:中和工业园经开物业9号楼;address:北京市大兴区中和街16;lat:39.806328;lng:116.524988
uid:839709fe3918e6916f3e1b6f;name:瑞赛科技园A座;address:隆庆街甲10号附近;lat:39.808481;lng:116.520377
uid:1b6fc5f485869a194afc8def;name:北京城乡世纪广场售楼处;address:科创五街与经海二路交叉口东南100米北京城乡世纪广场;lat:39.809649;lng:116.539634
uid:1c48ec5cf8d496c4f4eafc33;name:北京亦庄生物医药园商务中心;address:北京市大兴区经海四路;lat:39.808654;lng:116.547501
uid:66164348a9933fc72202206e;name:北京经开·国际企业大道III;address:北京市通州区经海五路1;lat:39.808426;lng:116.557041
uid:8d49b6d7de7fd84af4b9166b;name:亦庄硅谷;address:通州区北京市光机电一体化产业基地嘉创路5号;lat:39.809357;lng:116.556976
uid:606289fdef5b7130a20464e7;name:定海园一里;address:次渠台湖镇;lat:39.80474;lng:116.56979
uid:6a0920f271388e07b726557f;name:定海园一里6号楼;address:北京市大兴区定海园一里6号楼;lat:39.804663;lng:116.568754
uid:0b89877b58f09884d618b712;name:定海园一里4号楼;address:北京市大兴区定海园一里4号楼;lat:39.805572;lng:116.569999
uid:686e5275d8b895adc17da25b;name:定海园一里1号楼;address:北京市大兴区定海园一里1号楼;lat:39.806011;lng:116.569607
uid:39a033650af658e4cac3dbd2;name:定海园一里2号楼;address:北京市大兴区定海园一里2号楼;lat:39.805645;lng:116.568805
uid:00b5c1408d3a3fdafea7780f;name:定海园一里10号楼;address:北京市大兴区定海园一里10号楼;lat:39.80386;lng:116.569645
uid:5c1fa1a7537d9e013913fd00;name:定海园一里5号楼;address:北京市大兴区定海园一里5号楼;lat:39.805271;lng:116.569316
uid:1132eb82c60091f396ca073f;name:定海园一里8号楼;address:北京市大兴区定海园一里8号楼;lat:39.804287;lng:116.569249
uid:487f948c316ca7f4471a326e;name:定海园一里3号楼;address:北京市大兴区定海园一里3号楼;lat:39.805093;lng:116.568368
uid:23435ddf0d928b7ff503b86f;name:经海七路100号院;address:北京市大兴区经海七路100号;lat:39.800183;lng:116.577211
uid:4ea3f2f1c0039bd7aecb66e7;name:定海园二里;address:北京市大兴区经海八路与科创九街交汇处;lat:39.806254;lng:116.57254
uid:89fd4ea35209dc3ae5e965e7;name:定海园三里;address:北京市大兴区科创九街;lat:39.80266;lng:116.571672
uid:b388f9fd02184d41b35c6a6a;name:美达大厦;address:台湖镇次二村南6号;lat:39.80826;lng:116.577651
uid:e174fc4f0ee9a5ab00ec012a;name:定海园小区;address:北京市通州区科创九街与经海七路交叉口附近;lat:39.804716;lng:116.572482
uid:a099d5040c390697eb56fa78;name:定海园三里3号楼;address:北京市大兴区定海园三里3号楼;lat:39.802802;lng:116.572565
uid:5dfa0737532940cc7bf796f9;name:定海园二里6号楼;address:北京市大兴区定海园二里6号楼;lat:39.806323;lng:116.57134
uid:1d3f8886ded8df2f82a12e72;name:定海园二里13号楼;address:北京市大兴区定海园二里13号楼;lat:39.805675;lng:116.574319
uid:ae480efafb99b8661b94c6f9;name:定海园二里2号楼;address:北京市大兴区定海园二里2号楼;lat:39.807289;lng:116.571797
uid:a235032c3c1e68242ad7ab18;name:定海园三里2号楼;address:北京市大兴区定海园三里2号楼;lat:39.802326;lng:116.571003
uid:f9fd6062e8878a1f0f0e6b6a;name:玉江佳园;address:北京市通州区潞西路;lat:39.806684;lng:116.587685
uid:d9086f20d62bb97c82288a37;name:次渠南里;address:北京市通州区台湖镇潞西路与铺西路交汇处;lat:39.806738;lng:116.584404
uid:56e88cba05ca8d65a4c7566a;name:敬园小区;address:次渠镇次渠大街;lat:39.807942;lng:116.583957
uid:1d47faafe890a38df42310fa;name:次渠南里七区;address:北京市通州区潞西路;lat:39.805092;lng:116.584661
uid:da3dfd90b3135c510d3dda1c;name:次渠南里十一区;address:北京市通州区次渠南里;lat:39.806412;lng:116.581435
uid:ee2130ee87b7c068e315f930;name:次渠南里十区;address:北京市通州区次渠南里;lat:39.803965;lng:116.583226
uid:ad8389fedf191afa6cc02c8c;name:次渠南里八区;address:北京市通州区次渠南里;lat:39.805523;lng:116.583067
uid:1da5bc0ff146dfdf932ca3fc;name:次渠北里五区;address:北京市通州区次渠北里;lat:39.809694;lng:116.582059
uid:4a66f560879d784d3be4a6ca;name:次渠南里九区;address:北京市通州区次渠南里;lat:39.804041;lng:116.583018
uid:6ba054874d095fcc1d58007c;name:次渠南里六区;address:北京市通州区;lat:39.806808;lng:116.584393
uid:49d959381b81a043c61e516a;name:华馨园小区;address:北京市通州区次渠大街19号;lat:39.809834;lng:116.590812
uid:22e114072b9427b4d5b74e6a;name:次渠怡芳园小区;address:北京市通州区次渠怡芳园小区1号楼;lat:39.808004;lng:116.590596
